,TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card4,card6,P_emaildomain,R_emaildomain,addr1,addr2,dist1,dist2
330984,3317984,1,8126001,25.618000000000002,C,mastercard,credit,hotmail.com,hotmail.com,,,,
331018,3318018,1,8126595,29.0,W,visa,debit,,,191.0,87.0,,
331030,3318030,1,8126822,107.95,W,visa,credit,hotmail.com,,110.0,87.0,,
331075,3318075,1,8127630,107.95,W,visa,credit,hotmail.com,,110.0,87.0,,
331088,3318088,1,8127842,107.95,W,visa,credit,hotmail.com,,110.0,87.0,,
331172,3318172,1,8129582,107.95,W,visa,credit,hotmail.com,,110.0,87.0,,
331214,3318214,1,8130770,33.95,W,mastercard,debit,gmail.com,,264.0,87.0,,
331238,3318238,1,8131559,117.0,W,visa,debit,yahoo.com,,299.0,87.0,,
331250,3318250,1,8131836,100.0,W,visa,debit,yahoo.com,,299.0,87.0,,
331293,3318293,1,8132967,117.0,W,visa,debit,gmail.com,,264.0,87.0,,
331370,3318370,1,8135804,19.455,C,mastercard,credit,gmail.com,gmail.com,,,,
331426,3318426,1,8138356,306.92,W,visa,debit,,,110.0,87.0,,
331427,3318427,1,8138369,306.92,W,visa,debit,,,110.0,87.0,,
331430,3318430,1,8138481,117.0,W,visa,credit,,,324.0,87.0,,
331466,3318466,1,8139678,49.0,W,visa,debit,,,204.0,87.0,,
331490,3318490,1,8141377,55.586000000000006,C,visa,credit,gmail.com,gmail.com,,,,113.0
331507,3318507,1,8142818,390.0,W,mastercard,debit,,,325.0,87.0,,
331572,3318572,1,8152445,65.0,W,visa,debit,gmail.com,,325.0,87.0,5.0,
331579,3318579,1,8154646,49.0,W,mastercard,debit,,,231.0,87.0,,
331636,3318636,1,8167487,117.0,W,visa,debit,gmail.com,,310.0,87.0,1814.0,
331793,3318793,1,8175178,29.0,W,visa,debit,gmail.com,,512.0,87.0,,
331815,3318815,1,8175892,45.0,W,visa,debit,gmail.com,,476.0,87.0,,
331897,3318897,1,8178027,28.397,C,visa,credit,gmail.com,gmail.com,,,,
332065,3319065,1,8181509,34.0,W,visa,debit,comcast.net,,337.0,87.0,0.0,
332126,3319126,1,8182233,34.95,W,mastercard,debit,gmail.com,,330.0,87.0,80.0,
332227,3319227,1,8184089,117.0,W,visa,debit,outlook.com,,181.0,87.0,,
332234,3319234,1,8184249,335.0,W,mastercard,debit,,,325.0,87.0,,
332303,3319303,1,8185867,100.0,H,visa,credit,gmail.com,anonymous.com,310.0,87.0,,
332308,3319308,1,8185908,100.0,H,visa,credit,gmail.com,anonymous.com,310.0,87.0,,
332310,3319310,1,8185955,100.0,H,visa,credit,gmail.com,anonymous.com,310.0,87.0,,
332387,3319387,1,8187265,117.0,W,visa,credit,aol.com,,126.0,87.0,1.0,
332403,3319403,1,8187567,117.0,W,visa,credit,aol.com,,126.0,87.0,1.0,
332451,3319451,1,8188570,400.0,R,mastercard,credit,yahoo.com,yahoo.com,264.0,87.0,,
332464,3319464,1,8188758,97.0,W,mastercard,debit,,,272.0,87.0,,
332505,3319505,1,8189543,400.0,R,mastercard,credit,yahoo.com,yahoo.com,181.0,87.0,,
332548,3319548,1,8190055,82.95,W,mastercard,debit,,,123.0,87.0,5.0,
332549,3319549,1,8190058,335.33099999999996,C,mastercard,credit,gmail.com,gmail.com,,,,
332589,3319589,1,8190827,39.0,W,mastercard,debit,gmail.com,,315.0,87.0,,
332671,3319671,1,8192246,15.950999999999999,C,mastercard,debit,hotmail.com,hotmail.com,,,,
332735,3319735,1,8193223,25.95,W,visa,debit,,,203.0,87.0,,
332928,3319928,1,8196787,67.067,C,mastercard,credit,hotmail.com,hotmail.com,,,,
332934,3319934,1,8196902,445.0,W,discover,credit,gmail.com,,264.0,87.0,3.0,
332938,3319938,1,8196950,226.0,W,mastercard,debit,gmail.com,,264.0,87.0,,
332962,3319962,1,8197417,15.0,H,visa,credit,gmail.com,gmail.com,296.0,65.0,,
332964,3319964,1,8197467,15.0,H,visa,credit,gmail.com,gmail.com,296.0,65.0,,
332965,3319965,1,8197504,15.0,H,visa,credit,gmail.com,gmail.com,296.0,65.0,,
332968,3319968,1,8197536,15.0,H,visa,credit,gmail.com,gmail.com,296.0,65.0,,
332982,3319982,1,8197801,171.0,W,mastercard,debit,yahoo.com,,299.0,87.0,,
333012,3320012,1,8198176,75.0,H,mastercard,debit,gmail.com,gmail.com,330.0,87.0,,
333126,3320126,1,8200205,171.0,W,visa,debit,gmail.com,,264.0,87.0,876.0,
333163,3320163,1,8200968,105.95,W,visa,debit,att.net,,315.0,87.0,4.0,
333197,3320197,1,8201418,47.0,W,visa,debit,yahoo.com,,126.0,87.0,1.0,
333281,3320281,1,8202415,78.95,W,visa,debit,yahoo.com,,264.0,87.0,,
333344,3320344,1,8203519,51.538000000000004,C,visa,credit,gmail.com,gmail.com,,,,30.0
333353,3320353,1,8203639,117.0,W,visa,debit,aol.com,,205.0,87.0,252.0,
333355,3320355,1,8203668,51.538000000000004,C,visa,debit,gmail.com,gmail.com,,,,30.0
333383,3320383,1,8204057,113.5,W,visa,debit,aol.com,,205.0,87.0,252.0,
333413,3320413,1,8204499,117.0,W,visa,debit,gmail.com,,476.0,87.0,,
333414,3320414,1,8204507,55.586000000000006,C,mastercard,debit,gmail.com,gmail.com,,,,113.0
333543,3320543,1,8206689,13.172,C,visa,credit,gmail.com,gmail.com,,,,
333552,3320552,1,8206756,13.172,C,mastercard,debit,gmail.com,gmail.com,,,,
333555,3320555,1,8206849,13.172,C,visa,credit,gmail.com,gmail.com,,,,
333562,3320562,1,8206941,13.172,C,mastercard,debit,gmail.com,gmail.com,,,,
333569,3320569,1,8207011,13.172,C,mastercard,credit,gmail.com,gmail.com,,,,
333573,3320573,1,8207086,13.172,C,mastercard,credit,gmail.com,gmail.com,,,,
333578,3320578,1,8207146,13.172,C,mastercard,credit,gmail.com,gmail.com,,,,
333583,3320583,1,8207203,13.172,C,mastercard,debit,gmail.com,gmail.com,,,,
333607,3320607,1,8207535,311.95,W,visa,debit,,,204.0,87.0,,
333609,3320609,1,8207545,268.265,C,mastercard,credit,gmail.com,gmail.com,,,,
333633,3320633,1,8207894,49.54,W,mastercard,credit,yahoo.com,,158.0,87.0,,
333636,3320636,1,8207946,445.0,W,discover,credit,gmail.com,,264.0,87.0,3.0,
333650,3320650,1,8208142,268.265,C,mastercard,credit,gmail.com,gmail.com,,,,
333659,3320659,1,8208215,268.265,C,visa,credit,gmail.com,gmail.com,,,,
333668,3320668,1,8208367,268.265,C,visa,credit,gmail.com,gmail.com,,,,
333693,3320693,1,8208658,268.265,C,visa,debit,gmail.com,gmail.com,,,,1947.0
333709,3320709,1,8208849,445.0,W,discover,credit,gmail.com,,264.0,87.0,3.0,
333801,3320801,1,8210664,59.0,W,visa,debit,anonymous.com,,204.0,87.0,32.0,
333812,3320812,1,8210884,107.95,W,visa,credit,hotmail.com,,184.0,87.0,,
333819,3320819,1,8210984,29.002,C,visa,credit,gmail.com,gmail.com,,,,82.0
333833,3320833,1,8211116,29.002,C,visa,credit,yahoo.es,yahoo.es,,,,82.0
333871,3320871,1,8211665,107.95,W,visa,credit,hotmail.com,,184.0,87.0,,
333933,3320933,1,8212636,107.95,W,visa,credit,hotmail.com,,110.0,87.0,22.0,
333972,3320972,1,8213287,250.0,R,mastercard,credit,yahoo.com,yahoo.com,181.0,87.0,,
333974,3320974,1,8213318,107.0,W,mastercard,debit,gmail.com,,441.0,87.0,,
333983,3320983,1,8213421,250.0,R,visa,credit,yahoo.com,yahoo.com,512.0,87.0,,
333988,3320988,1,8213489,250.0,R,visa,credit,yahoo.com,yahoo.com,512.0,87.0,,
334067,3321067,1,8214848,107.95,W,visa,debit,,,269.0,87.0,0.0,
334110,3321110,1,8215698,108.5,W,mastercard,debit,aol.com,,181.0,87.0,,
334127,3321127,1,8215964,87.99,W,visa,debit,anonymous.com,,204.0,87.0,,
334149,3321149,1,8216465,20.785,C,mastercard,debit,gmail.com,gmail.com,,,,
334168,3321168,1,8216874,844.95,W,visa,debit,gmail.com,,126.0,87.0,,
334170,3321170,1,8216888,226.0,W,visa,debit,,,299.0,87.0,2.0,
334244,3321244,1,8218318,71.054,C,mastercard,debit,gmail.com,gmail.com,,,,342.0
334245,3321245,1,8218341,54.0,W,visa,debit,gmail.com,,204.0,87.0,,
334248,3321248,1,8218403,71.054,C,mastercard,debit,gmail.com,gmail.com,,,,342.0
334371,3321371,1,8220831,46.161,C,mastercard,debit,gmail.com,gmail.com,,,,199.0
334374,3321374,1,8220836,296.95,W,visa,debit,gmail.com,,184.0,87.0,,
334378,3321378,1,8220940,445.0,W,mastercard,debit,gmail.com,,472.0,87.0,14.0,
334398,3321398,1,8221301,23.08,C,mastercard,debit,gmail.com,gmail.com,,,,199.0
334436,3321436,1,8222145,291.95,W,visa,credit,gmail.com,,184.0,87.0,,
334452,3321452,1,8222611,33.95,W,mastercard,debit,gmail.com,,226.0,87.0,,
334492,3321492,1,8224023,34.0,W,mastercard,debit,aol.com,,315.0,87.0,,
334499,3321499,1,8224125,29.0,W,mastercard,debit,aol.com,,315.0,87.0,,
334501,3321501,1,8224175,24.0,W,mastercard,debit,aol.com,,315.0,87.0,715.0,
334537,3321537,1,8225168,445.0,W,visa,credit,gmail.com,,264.0,87.0,,
334559,3321559,1,8225657,21.0,W,visa,debit,hotmail.com,,325.0,87.0,,
334562,3321562,1,8225761,21.0,W,mastercard,debit,hotmail.com,,325.0,87.0,,
334567,3321567,1,8226093,40.904,C,mastercard,debit,gmail.com,gmail.com,,,,199.0
334569,3321569,1,8226184,40.904,C,visa,debit,gmail.com,gmail.com,,,,199.0
334573,3321573,1,8226265,40.904,C,visa,debit,gmail.com,gmail.com,,,,199.0
334574,3321574,1,8226337,40.904,C,mastercard,debit,gmail.com,gmail.com,,,,199.0
334577,3321577,1,8226393,40.904,C,visa,debit,gmail.com,gmail.com,,,,199.0
334579,3321579,1,8226457,40.904,C,mastercard,debit,gmail.com,gmail.com,,,,199.0
334590,3321590,1,8226727,774.0,W,visa,credit,gmail.com,,264.0,87.0,,
334592,3321592,1,8226829,445.0,W,visa,credit,gmail.com,,264.0,87.0,,
334603,3321603,1,8227376,55.586000000000006,C,visa,credit,outlook.com,outlook.com,,,,1.0
334630,3321630,1,8228805,27.793000000000003,C,visa,debit,outlook.com,outlook.com,,,,1.0
334645,3321645,1,8229923,774.0,W,visa,credit,gmail.com,,264.0,87.0,,
334713,3321713,1,8242371,26.947,C,mastercard,credit,icloud.com,icloud.com,,,,284.0
334714,3321714,1,8242432,26.947,C,mastercard,credit,icloud.com,icloud.com,,,,284.0
334716,3321716,1,8243078,171.0,W,visa,debit,,,204.0,87.0,,
334717,3321717,1,8243714,226.0,W,visa,debit,,,472.0,87.0,,
334721,3321721,1,8244467,26.947,C,mastercard,debit,hotmail.com,hotmail.com,,,,162.0
334722,3321722,1,8244565,26.947,C,visa,debit,hotmail.com,hotmail.com,,,,162.0
334727,3321727,1,8245575,26.947,C,mastercard,debit,outlook.com,outlook.com,,,,
334730,3321730,1,8246065,39.0,W,mastercard,debit,,,123.0,87.0,,
334731,3321731,1,8246099,445.0,W,mastercard,debit,,,315.0,87.0,,
334737,3321737,1,8246953,445.0,W,mastercard,debit,,,315.0,87.0,,
334754,3321754,1,8249194,117.0,W,mastercard,debit,,,310.0,87.0,,
334762,3321762,1,8250476,73.229,C,visa,credit,gmail.com,gmail.com,,,,924.0
334772,3321772,1,8251102,73.229,C,visa,credit,gmail.com,gmail.com,,,,
334805,3321805,1,8253551,117.0,W,visa,credit,,,126.0,87.0,,
334810,3321810,1,8253816,445.0,W,visa,credit,,,177.0,87.0,,
334811,3321811,1,8253848,171.0,W,visa,debit,,,204.0,87.0,,
334819,3321819,1,8254082,171.0,W,visa,debit,,,204.0,87.0,,
334826,3321826,1,8254369,39.0,W,mastercard,debit,,,123.0,87.0,,
334828,3321828,1,8254458,108.5,W,visa,credit,,,126.0,87.0,,
334855,3321855,1,8255331,445.0,W,visa,credit,,,177.0,87.0,,
334868,3321868,1,8255949,335.0,W,mastercard,credit,,,272.0,87.0,,
334874,3321874,1,8255987,30.95,W,visa,debit,,,143.0,87.0,,
334910,3321910,1,8256968,40.421,C,visa,credit,gmail.com,gmail.com,,,,
334930,3321930,1,8257474,29.0,W,visa,debit,,,476.0,87.0,,
334943,3321943,1,8257786,27.793000000000003,C,visa,credit,outlook.com,outlook.com,,,,1.0
334986,3321986,1,8258754,300.0,H,visa,credit,gmail.com,gmail.com,226.0,87.0,,
334997,3321997,1,8259015,29.0,W,mastercard,debit,,,325.0,87.0,,
335000,3322000,1,8259083,24.0,W,mastercard,debit,,,325.0,87.0,,
335005,3322005,1,8259184,15.0,W,visa,debit,,,325.0,87.0,,
335047,3322047,1,8260043,250.0,H,visa,debit,gmail.com,gmail.com,299.0,87.0,,
335116,3322116,1,8261730,300.0,H,visa,credit,gmail.com,gmail.com,226.0,87.0,,
335154,3322154,1,8262403,300.0,H,visa,credit,gmail.com,gmail.com,226.0,87.0,,
335185,3322185,1,8262861,92.0,W,visa,debit,,,126.0,87.0,,
335236,3322236,1,8263738,102.59299999999999,C,mastercard,debit,gmail.com,gmail.com,,,,
335270,3322270,1,8264134,400.0,R,visa,debit,gmail.com,gmail.com,299.0,87.0,,4.0
335275,3322275,1,8264209,424.95,W,visa,debit,,,264.0,87.0,,
335285,3322285,1,8264417,400.0,R,visa,debit,gmail.com,gmail.com,299.0,87.0,,5.0
335320,3322320,1,8264815,300.0,R,visa,debit,gmail.com,gmail.com,299.0,87.0,,964.0
335323,3322323,1,8264906,102.59299999999999,C,mastercard,debit,gmail.com,gmail.com,,,,
335336,3322336,1,8265111,35.044000000000004,C,visa,credit,hotmail.com,hotmail.com,,,,321.0
335341,3322341,1,8265172,75.344,C,mastercard,debit,gmail.com,gmail.com,,,,342.0
335369,3322369,1,8265707,500.0,W,visa,credit,,,264.0,87.0,,
335422,3322422,1,8266670,141.0,W,mastercard,debit,,,269.0,87.0,,
335429,3322429,1,8266763,75.344,C,mastercard,debit,gmail.com,gmail.com,,,,
335433,3322433,1,8266795,201.0,W,discover,credit,,,123.0,87.0,,
335601,3322601,1,8269485,445.0,W,mastercard,debit,,,472.0,87.0,,
335620,3322620,1,8269712,47.95,W,visa,debit,yahoo.com,,325.0,87.0,4.0,
335660,3322660,1,8270232,171.0,W,visa,debit,yahoo.com,,204.0,87.0,25.0,
335687,3322687,1,8270612,34.0,W,mastercard,debit,yahoo.com,,387.0,87.0,,
335688,3322688,1,8270620,34.0,W,mastercard,debit,yahoo.com,,387.0,87.0,,
335691,3322691,1,8270644,34.0,W,mastercard,debit,yahoo.com,,387.0,87.0,,
335716,3322716,1,8271011,400.0,R,visa,debit,gmail.com,gmail.com,299.0,87.0,,9.0
335728,3322728,1,8271147,325.0,R,visa,debit,gmail.com,yahoo.com,299.0,87.0,,5.0
335776,3322776,1,8271910,49.0,W,visa,debit,,,315.0,87.0,,
335777,3322777,1,8271936,49.0,W,visa,debit,,,315.0,87.0,,
335778,3322778,1,8271942,77.95,W,visa,debit,gmail.com,,264.0,87.0,4.0,
335781,3322781,1,8271953,77.95,W,visa,debit,gmail.com,,264.0,87.0,4.0,
335784,3322784,1,8271958,49.0,W,visa,debit,,,315.0,87.0,,
335787,3322787,1,8271960,49.0,W,visa,debit,,,315.0,87.0,,
335977,3322977,1,8274763,141.0,W,mastercard,debit,yahoo.com,,325.0,87.0,3.0,
335978,3322978,1,8274767,141.0,W,mastercard,debit,yahoo.com,,325.0,87.0,3.0,
336016,3323016,1,8275315,59.0,W,visa,debit,gmail.com,,299.0,87.0,1.0,
336018,3323018,1,8275318,300.0,H,mastercard,credit,gmail.com,gmail.com,269.0,87.0,,
336027,3323027,1,8275387,159.95,W,visa,debit,yahoo.com,,315.0,87.0,3.0,
336063,3323063,1,8275850,171.0,W,mastercard,debit,gmail.com,,325.0,87.0,2.0,
336087,3323087,1,8276147,59.0,W,visa,debit,gmail.com,,299.0,87.0,,
336094,3323094,1,8276205,221.0,W,mastercard,debit,,,485.0,87.0,,
336101,3323101,1,8276283,300.0,H,visa,debit,gmail.com,gmail.com,226.0,87.0,,
336215,3323215,1,8278043,160.5,W,visa,debit,gmail.com,,264.0,87.0,,
336217,3323217,1,8278046,160.5,W,visa,debit,gmail.com,,264.0,87.0,,
336238,3323238,1,8278320,68.95,W,visa,debit,comcast.net,,299.0,87.0,1.0,
336245,3323245,1,8278379,117.0,W,visa,credit,,,325.0,87.0,,
336261,3323261,1,8278666,68.95,W,visa,debit,comcast.net,,299.0,87.0,1.0,
336263,3323263,1,8278675,206.0,W,mastercard,debit,icloud.com,,310.0,87.0,,
336383,3323383,1,8280289,49.0,W,visa,debit,,,476.0,87.0,11.0,
336402,3323402,1,8280613,490.0,W,discover,credit,gmail.com,,330.0,87.0,,
336430,3323430,1,8280997,445.0,W,visa,debit,gmail.com,,272.0,87.0,,
336459,3323459,1,8281417,117.0,W,visa,debit,yahoo.com,,181.0,87.0,3.0,
336486,3323486,1,8281806,88.213,C,visa,credit,hotmail.com,hotmail.com,,,,
336512,3323512,1,8282121,120.0,W,mastercard,debit,yahoo.com,,325.0,87.0,3.0,
336545,3323545,1,8282568,49.0,W,visa,debit,anonymous.com,,204.0,87.0,,
336619,3323619,1,8283447,159.95,W,visa,credit,,,444.0,87.0,0.0,
336670,3323670,1,8284169,554.0,W,visa,debit,gmail.com,,272.0,87.0,,
336687,3323687,1,8284509,554.0,W,visa,debit,gmail.com,,272.0,87.0,,
336718,3323718,1,8285068,29.0,W,visa,debit,yahoo.com,,441.0,87.0,86.0,
336778,3323778,1,8285988,159.95,W,mastercard,debit,yahoo.com,,325.0,87.0,,
336794,3323794,1,8286262,29.0,W,mastercard,debit,,,269.0,87.0,8.0,
336810,3323810,1,8286454,29.0,W,mastercard,debit,anonymous.com,,269.0,87.0,8.0,
336863,3323863,1,8287245,24.5,W,mastercard,debit,anonymous.com,,269.0,87.0,8.0,
336870,3323870,1,8287380,280.0,W,mastercard,debit,gmail.com,,264.0,87.0,60.0,
336902,3323902,1,8287902,117.0,W,visa,debit,yahoo.com,,126.0,87.0,1.0,
336937,3323937,1,8288457,774.0,W,visa,debit,gmail.com,,310.0,87.0,,
336944,3323944,1,8288543,529.0,W,visa,debit,gmail.com,,310.0,87.0,,
337046,3324046,1,8290056,2161.0,W,visa,debit,,,299.0,87.0,2.0,
337053,3324053,1,8290139,884.0,W,visa,debit,,,299.0,87.0,2.0,
337056,3324056,1,8290190,15.0,S,visa,debit,,yahoo.com,272.0,87.0,,7.0
337190,3324190,1,8291872,18.005,C,mastercard,credit,gmail.com,gmail.com,,,,0.0
337200,3324200,1,8292020,18.005,C,visa,credit,gmail.com,gmail.com,,,,0.0
337205,3324205,1,8292078,18.005,C,visa,credit,gmail.com,gmail.com,,,,0.0
337214,3324214,1,8292192,1651.0,W,discover,credit,gmail.com,,472.0,87.0,,
337223,3324223,1,8292321,1651.0,W,discover,credit,gmail.com,,472.0,87.0,,
337225,3324225,1,8292325,18.005,C,visa,credit,gmail.com,gmail.com,,,,0.0
337322,3324322,1,8293857,77.0,W,mastercard,debit,gmail.com,,123.0,87.0,1.0,
337371,3324371,1,8294742,125.0,R,visa,credit,gmail.com,gmail.com,184.0,87.0,,
337376,3324376,1,8294819,125.0,R,visa,credit,gmail.com,gmail.com,184.0,87.0,,
337383,3324383,1,8294946,77.0,W,mastercard,debit,gmail.com,,123.0,87.0,1.0,
337388,3324388,1,8294982,125.0,R,visa,credit,gmail.com,gmail.com,337.0,87.0,,
337389,3324389,1,8294983,450.0,H,visa,credit,anonymous.com,anonymous.com,,,,
337403,3324403,1,8295139,117.0,W,mastercard,debit,yahoo.com,,269.0,87.0,2.0,
337410,3324410,1,8295327,554.0,W,visa,debit,gmail.com,,272.0,87.0,3.0,
337430,3324430,1,8295601,59.0,W,visa,debit,yahoo.com,,299.0,87.0,,
337478,3324478,1,8296321,1651.0,W,discover,credit,gmail.com,,472.0,87.0,6.0,
337505,3324505,1,8296646,59.0,W,visa,debit,gmail.com,,204.0,87.0,101.0,
337507,3324507,1,8296685,80.0,W,visa,debit,,,126.0,87.0,1.0,
337582,3324582,1,8297957,49.0,W,visa,debit,live.com,,272.0,87.0,,
337731,3324731,1,8300044,206.0,W,mastercard,debit,,,310.0,87.0,,
337755,3324755,1,8300354,554.0,W,visa,debit,gmail.com,,272.0,87.0,3.0,
337790,3324790,1,8300791,188.0,W,visa,debit,yahoo.com,,433.0,87.0,64.0,
338008,3325008,1,8304971,161.0,W,mastercard,debit,yahoo.com,,269.0,87.0,,
338139,3325139,1,8308290,52.68600000000001,C,visa,debit,gmail.com,gmail.com,,,,631.0
338142,3325142,1,8308448,52.68600000000001,C,mastercard,debit,gmail.com,gmail.com,,,,631.0
338220,3325220,1,8310878,17.764,C,mastercard,debit,icloud.com,icloud.com,,,,
338223,3325223,1,8310934,17.764,C,mastercard,credit,icloud.com,icloud.com,,,,
338225,3325225,1,8310986,17.764,C,visa,credit,icloud.com,icloud.com,,,,
338235,3325235,1,8311273,684.0,W,visa,debit,comcast.net,,420.0,87.0,,
338336,3325336,1,8318164,600.0,R,visa,credit,yahoo.com,yahoo.com,181.0,87.0,,
338341,3325341,1,8318719,600.0,R,visa,credit,yahoo.com,yahoo.com,512.0,87.0,,
338354,3325354,1,8320883,300.0,H,mastercard,debit,gmail.com,gmail.com,231.0,87.0,,
338358,3325358,1,8320940,300.0,H,mastercard,debit,gmail.com,gmail.com,231.0,87.0,,
338360,3325360,1,8320998,300.0,H,mastercard,debit,gmail.com,gmail.com,231.0,87.0,,
338361,3325361,1,8321228,300.0,H,visa,debit,gmail.com,gmail.com,204.0,87.0,,
338366,3325366,1,8321660,300.0,H,mastercard,debit,gmail.com,gmail.com,231.0,87.0,,
338394,3325394,1,8325138,141.0,W,mastercard,debit,anonymous.com,,310.0,87.0,4.0,
338401,3325401,1,8328485,150.0,H,visa,debit,gmail.com,gmail.com,231.0,87.0,,
338403,3325403,1,8328640,150.0,H,mastercard,debit,gmail.com,gmail.com,231.0,87.0,,
338451,3325451,1,8337758,141.0,W,mastercard,debit,hotmail.com,,441.0,87.0,,
338481,3325481,1,8340219,35.346,C,mastercard,debit,hotmail.com,hotmail.com,,,,
338532,3325532,1,8342130,445.0,W,mastercard,credit,yahoo.com,,327.0,87.0,,
338535,3325535,1,8342243,213.0,W,mastercard,credit,yahoo.com,,327.0,87.0,13.0,
338579,3325579,1,8343525,25.95,W,visa,debit,ymail.com,,299.0,87.0,4.0,
338657,3325657,1,8345872,108.5,W,mastercard,debit,gmail.com,,428.0,87.0,,
338660,3325660,1,8345908,117.0,W,mastercard,debit,gmail.com,,428.0,87.0,,
338666,3325666,1,8346030,68.5,W,mastercard,debit,gmail.com,,428.0,87.0,,
338735,3325735,1,8347847,1104.0,W,visa,debit,gmail.com,,191.0,87.0,,
338753,3325753,1,8348523,117.0,W,visa,debit,,,177.0,87.0,,
338910,3325910,1,8351913,44.107,C,mastercard,credit,gmail.com,gmail.com,,,,
338968,3325968,1,8353053,226.0,W,mastercard,debit,,,126.0,87.0,16.0,
338980,3325980,1,8353277,226.0,W,mastercard,debit,,,126.0,87.0,16.0,
339030,3326030,1,8354137,97.0,W,mastercard,debit,yahoo.com,,269.0,87.0,2.0,
339089,3326089,1,8355299,1104.0,W,visa,debit,,,299.0,87.0,2.0,
339113,3326113,1,8355695,289.95,W,mastercard,credit,yahoo.com,,126.0,87.0,,
339199,3326199,1,8357346,554.0,W,visa,debit,gmail.com,,126.0,87.0,5.0,
339273,3326273,1,8359158,141.0,W,mastercard,debit,yahoo.com,,269.0,87.0,,
339274,3326274,1,8359223,136.0,W,mastercard,debit,,,310.0,87.0,,
339279,3326279,1,8359274,445.0,W,visa,credit,gmail.com,,512.0,87.0,,
339341,3326341,1,8360120,160.5,W,visa,debit,gmail.com,,299.0,87.0,1361.0,
339361,3326361,1,8360369,9.788,C,mastercard,debit,hotmail.com,hotmail.com,,,,
339384,3326384,1,8360879,310.559,C,visa,credit,gmail.com,gmail.com,,,,
339386,3326386,1,8360928,310.559,C,visa,credit,gmail.com,gmail.com,,,,
339397,3326397,1,8361021,310.559,C,mastercard,credit,gmail.com,gmail.com,,,,
339402,3326402,1,8361073,41.388000000000005,C,visa,credit,gmail.com,gmail.com,,,,
339403,3326403,1,8361076,310.559,C,mastercard,credit,gmail.com,gmail.com,,,,
339404,3326404,1,8361079,59.0,W,mastercard,debit,gmail.com,,428.0,87.0,,
339409,3326409,1,8361169,310.559,C,visa,credit,gmail.com,gmail.com,,,,
339429,3326429,1,8361708,35.346,C,visa,credit,gmail.com,gmail.com,,,,
339431,3326431,1,8361750,35.346,C,visa,credit,gmail.com,gmail.com,,,,
339432,3326432,1,8361775,48.95,W,visa,debit,yahoo.com,,299.0,87.0,,
339506,3326506,1,8363113,209.95,W,visa,debit,aol.com,,441.0,87.0,10.0,
339731,3326731,1,8366471,335.0,W,mastercard,credit,gmail.com,,272.0,87.0,,
339738,3326738,1,8366540,29.0,W,mastercard,debit,gmail.com,,264.0,87.0,16.0,
339822,3326822,1,8367986,35.346,C,visa,credit,gmail.com,gmail.com,,,,
339825,3326825,1,8368040,35.346,C,visa,credit,gmail.com,gmail.com,,,,
339845,3326845,1,8368249,15.0,S,visa,debit,,yahoo.com,272.0,87.0,,7.0
339919,3326919,1,8369540,84.0,W,visa,debit,gmail.com,,299.0,87.0,1361.0,
339941,3326941,1,8369924,31.418000000000003,C,visa,debit,gmail.com,gmail.com,,,,
339949,3326949,1,8370020,31.418000000000003,C,mastercard,credit,gmail.com,gmail.com,,,,
339953,3326953,1,8370093,31.418000000000003,C,visa,credit,gmail.com,gmail.com,,,,
339957,3326957,1,8370151,31.418000000000003,C,visa,debit,gmail.com,gmail.com,,,,
339977,3326977,1,8370464,323.0,W,visa,debit,gmail.com,,170.0,87.0,16.0,
340019,3327019,1,8371064,55.95,W,visa,debit,yahoo.com,,494.0,87.0,4.0,
340094,3327094,1,8372279,300.0,R,mastercard,credit,gmail.com,gmail.com,472.0,87.0,,
340127,3327127,1,8372786,117.456,C,visa,credit,gmail.com,gmail.com,,,,924.0
340210,3327210,1,8374150,67.95,W,visa,debit,,,191.0,87.0,,
340215,3327215,1,8374250,68.0,W,visa,debit,yahoo.com,,330.0,87.0,,
340229,3327229,1,8374539,1000.0,R,visa,credit,outlook.com,outlook.com,441.0,87.0,,
340238,3327238,1,8374653,90.0,S,discover,credit,,yahoo.com,123.0,87.0,,
340241,3327241,1,8374696,100.0,R,mastercard,debit,aol.com,anonymous.com,469.0,87.0,,
340247,3327247,1,8374800,92.0,W,visa,debit,gmail.com,,476.0,87.0,,
340406,3327406,1,8377568,77.0,W,visa,debit,yahoo.com,,433.0,87.0,64.0,
340440,3327440,1,8378229,100.0,H,discover,credit,msn.com,gmail.com,428.0,87.0,,
340445,3327445,1,8378277,100.0,H,discover,credit,msn.com,gmail.com,428.0,87.0,,
340446,3327446,1,8378317,100.0,H,american express,credit,msn.com,gmail.com,428.0,87.0,,
340451,3327451,1,8378372,100.0,H,american express,credit,msn.com,gmail.com,428.0,87.0,,
340532,3327532,1,8379633,59.0,W,mastercard,debit,yahoo.com,,269.0,87.0,,
340654,3327654,1,8381971,480.0,W,visa,credit,gmail.com,,299.0,87.0,,
340692,3327692,1,8382478,29.0,W,visa,debit,yahoo.com,,126.0,87.0,1.0,
340705,3327705,1,8382701,150.0,H,discover,credit,msn.com,gmail.com,428.0,87.0,,
340714,3327714,1,8382829,150.0,H,discover,credit,msn.com,gmail.com,428.0,87.0,,
340790,3327790,1,8384041,994.0,W,visa,credit,yahoo.com,,226.0,87.0,294.0,
